product_id,stock_id,product_name,description,price,stock_quantity
1,1,Laptop,Powerful laptop for work and play,999.99,100
2,2,guns,protection,80.0,67
3,3,Smartphone,Latest with good sound,399.99,300
4,4,Tablet,Versatile, for entertainment,100.5,150
5,5,Intel Core i7-13700K,16-core processor, base clock speed of 3.4 GHz, boost clock speed of 5.4 GHz,429.99,500
6,6,Keyboard,Compact and efficient for typing,40.0,150
7,7,HDMI Cable,High-definition multimedia interface cable,15.0,80
8,8,Desk Lamp,Adjustable desk lamp for comfortable lighting,25.0,60
9,9,Notebook,A quality notebook for daily use,35.0,250
10,10,Headphone,Over-ear headphones with noise cancellation,40.0,200
22,89,ygttf,dddddd,90.0,7
